i_doc,doc,Topic 1,Topic 2
0,worldofwarcraft,1.0,0.0
1,finalfantasyvii,1.0,0.0
2,theelderscrollsvskyrim,1.0,0.0
3,teamfortress2,1.0,0.0
4,masseffect2,1.0,0.0
5,falloutnewvegas,1.0,0.0
6,fallout3,1.0,0.0
7,masseffect3,1.0,0.0
8,dragonageorigins,1.0,0.0
9,persona3,1.0,0.0
10,persona5,1.0,0.0
11,finalfantasyvi,1.0,0.0
12,theelderscrollsivoblivion,1.0,0.0
13,thelegendofzeldaocarinaoftime,1.0,0.0
14,dragonageii,1.0,0.0
15,fallout,1.0,0.0
16,chronotrigger,1.0,0.0
17,metalgear,1.0,0.0
18,persona4,1.0,0.0
19,finalfantasyxiv,1.0,0.0
20,thelegendofzeldabreathofthewild,1.0,0.0
21,cityofheroes,1.0,0.0
22,thelegendofzeldatwilightprincess,1.0,0.0
23,leagueoflegends,1.0,0.0
24,finalfantasyviii,1.0,0.0
25,sonicthehedgehog,1.0,0.0
26,finalfantasyx,1.0,0.0
27,overwatch,1.0,0.0
28,metalgearsolid,1.0,0.0
29,supersmashbros,1.0,0.0
30,undertale,1.0,0.0
31,touhou,1.0,0.0
32,talesofsymphonia,1.0,0.0
33,dragonageinquisition,1.0,0.0
34,mother3,1.0,0.0
35,thelegendofzeldaskywardsword,1.0,0.0
36,kingdomofloathing,1.0,0.0
37,warcraft,1.0,0.0
38,blazblue,1.0,0.0
39,kingdomheartsii,1.0,0.0
40,fireemblemawakening,1.0,0.0
41,finalfantasyxii,1.0,0.0
42,fallout4,1.0,0.0
43,theelderscrollsiiimorrowind,1.0,0.0
44,warcraftiii,1.0,0.0
45,halflife2,1.0,0.0
46,darksouls,1.0,0.0
47,thelegendofzeldathewindwaker,1.0,0.0
48,finalfantasyxiii,1.0,0.0
49,dwarffortress,1.0,0.0
50,masseffect1,1.0,0.0
51,thelegendofzeldamajorasmask,1.0,0.0
52,finalfantasyiv,1.0,0.0
53,papermariothethousandyeardoor,1.0,0.0
54,theworldendswithyou,1.0,0.0
55,portal2,1.0,0.0
56,xenobladechronicles1,1.0,0.0
57,thelegendofheroestrailsofcoldsteel,1.0,0.0
58,talesoftheabyss,1.0,0.0
59,grandtheftautosanandreas,1.0,0.0
60,metalgearsolid3snakeeater,1.0,0.0
61,devilmaycry,1.0,0.0
62,megamanx,1.0,0.0
63,minecraft,1.0,0.0
64,pokemonsunandmoon,1.0,0.0
65,superrobotwars,1.0,0.0
66,thekingoffighters,1.0,0.0
67,fireemblemfates,1.0,0.0
68,metalgearsolid4gunsofthepatriots,1.0,0.0
69,tekken,1.0,0.0
70,borderlands2,1.0,0.0
71,pokemonblackandwhite,1.0,0.0
72,guiltygear,1.0,0.0
73,metalgearsolid2sonsofliberty,1.0,0.0
74,finalfantasyix,1.0,0.0
75,residentevil4,1.0,0.0
76,doom,1.0,0.0
77,megamanbattlenetwork,1.0,0.0
78,okami,1.0,0.0
79,finalfantasyv,1.0,0.0
80,soulseries,1.0,0.0
81,modernwarfare,1.0,0.0
82,pokemonxandy,1.0,0.0
83,kingdomheartsiii,1.0,0.0
84,bayonetta,1.0,0.0
85,thewitcher3wildhunt,1.0,0.0
86,batmanarkhamcity,1.0,0.0
87,talesofvesperia,1.0,0.0
88,kidicarusuprising,1.0,0.0
89,deusexhumanrevolution,1.0,0.0
90,superpapermario,1.0,0.0
91,persona2,1.0,0.0
92,kingdomheartsbirthbysleep,1.0,0.0
93,guildwars2,1.0,0.0
94,banjokazooie,1.0,0.0
95,xcomenemyunknown,1.0,0.0
96,chronocross,1.0,0.0
97,sonicadventure2,1.0,0.0
98,maxpayne,1.0,0.0
99,deusex,1.0,0.0
100,psychonauts,1.0,0.0
101,gearsofwar,1.0,0.0
102,planescapetorment,1.0,0.0
103,supersmashbrosultimate,1.0,0.0
104,diabloii,1.0,0.0
105,fireemblemthreehouses,1.0,0.0
106,dragonquest,1.0,0.0
107,animalcrossing,1.0,0.0
108,godofwar,1.0,0.0
109,finalfantasyx2,1.0,0.0
110,marathon,1.0,0.0
111,civilization,1.0,0.0
112,saintsrowthethird,1.0,0.0
113,finalfantasytactics,1.0,0.0
114,starcraft,1.0,0.0
115,bloodborne,1.0,0.0
116,megamanclassic,0.8333333333333334,0.16666666666666666
117,cavestory,1.0,0.0
118,sonicadventure,1.0,0.0
119,grandtheftauto,1.0,0.0
120,megamanzero,1.0,0.0
121,fallout2,1.0,0.0
122,grandtheftautoiv,1.0,0.0
123,xenobladechronicles2,1.0,0.0
124,fategrandorder,1.0,0.0
125,pokemonrubyandsapphire,1.0,0.0
126,finalfantasyxv,1.0,0.0
127,bioshock1,1.0,0.0
128,left4dead,1.0,0.0
129,goldensun,1.0,0.0
130,splatoon,1.0,0.0
131,metalgearrisingrevengeance,1.0,0.0
132,genshinimpact,1.0,0.0
133,samuraishodown,1.0,0.0
134,baldursgate,1.0,0.0
135,xenobladechroniclesx,1.0,0.0
136,batmanarkhamknight,1.0,0.0
137,callofduty,1.0,0.0
138,perfectdark,1.0,0.0
139,kingdomheartsi,1.0,0.0
140,pokemonredandblue,1.0,0.0
141,xcom2,1.0,0.0
142,reddeadredemption,1.0,0.0
143,thelegendofzeldaalinktothepast,1.0,0.0
144,sengokubasara,1.0,0.0
145,metalgearsolidvthephantompain,1.0,0.0
146,borderlands,1.0,0.0
147,halflife,1.0,0.0
148,starcontrol,1.0,0.0
149,cyberpunk2077,1.0,0.0
150,finalfantasyxi,1.0,0.0
151,prototype,1.0,0.0
152,dynastywarriors,1.0,0.0
153,grandtheftautov,1.0,0.0
154,theelderscrollsonline,1.0,0.0
155,megamanstarforce,1.0,0.0
156,shantae,1.0,0.0
157,supermariogalaxy,1.0,0.0
158,fireemblempathofradiance,1.0,0.0
159,darkestdungeon,1.0,0.0
160,darksoulsi,1.0,0.0
161,monsterhunter,1.0,0.0
162,xenogears,1.0,0.0
163,thesecretworld,1.0,0.0
164,fireemblemtheblazingblade,1.0,0.0
165,splatoon2,1.0,0.0
166,assassinscreedii,1.0,0.0
167,divinityoriginalsinii,1.0,0.0
168,diablo,1.0,0.0
169,talesseries,1.0,0.0
170,neverwinternights,1.0,0.0
171,fireemblemradiantdawn,1.0,0.0
172,skiesofarcadia,1.0,0.0
173,nierautomata,1.0,0.0
174,haloreach,1.0,0.0
175,fallenlondon,1.0,0.0
176,pokemongoldandsilver,1.0,0.0
177,valkyriachronicles,1.0,0.0
178,xenosaga,1.0,0.0
179,thesims,1.0,0.0
180,cityofvillains,1.0,0.0
181,dishonored,1.0,0.0
182,earthbound,1.0,0.0
183,warframe,1.0,0.0
184,hollowknight,1.0,0.0
185,portal,1.0,0.0
186,pokemonswordandshield,1.0,0.0
187,shinmegamitenseiiv,1.0,0.0
188,mortalkombat11,1.0,0.0
189,kingdomhearts3ddreamdropdistance,1.0,0.0
190,heroesofmightandmagic,1.0,0.0
191,residentevil6,1.0,0.0
192,supersmashbrosbrawl,1.0,0.0
193,assassinscreediii,1.0,0.0
194,jadeempire,1.0,0.0
195,supermario64,1.0,0.0
196,megamanzx,1.0,0.0
197,nethack,1.0,0.0
198,payday2,1.0,0.0
199,batmanarkhamasylum,1.0,0.0
200,thelegendofheroestrailsinthesky,1.0,0.0
201,etrianodyssey,1.0,0.0
202,pokemondiamondandpearl,1.0,0.0
203,darksoulsii,1.0,0.0
