i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
0,acertainmagicalindex,0.16932907348242812,0.09478168264110756,0.14164004259850904,0.08519701810436635,0.24494142705005326,0.051118210862619806,0.07135250266240682,0.09052183173588925,0.019169329073482427,0.012779552715654952,0.01703940362087327,0.002129925452609159,0.0
1,acertainscientificrailgun,0.1522633744855967,0.12757201646090535,0.1728395061728395,0.09259259259259259,0.18106995884773663,0.051440329218107,0.05555555555555555,0.09876543209876543,0.02880658436213992,0.01646090534979424,0.01646090534979424,0.006172839506172839,0.0
2,achannel,0.08,0.28,0.16,0.08,0.04,0.0,0.0,0.08,0.24,0.04,0.0,0.0,0.0
3,adestructivegodsitsnexttome,0.043478260869565216,0.17391304347826086,0.21739130434782608,0.17391304347826086,0.08695652173913043,0.0,0.021739130434782608,0.21739130434782608,0.06521739130434782,0.0,0.0,0.0,0.0
4,aicoincarnation,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.21428571428571427,0.0,0.14285714285714285,0.03571428571428571,0.10714285714285714,0.0,0.03571428571428571,0.0,0.0
5,akb0048,0.10948905109489052,0.11678832116788321,0.1678832116788321,0.06569343065693431,0.13138686131386862,0.08029197080291971,0.145985401459854,0.08759124087591241,0.0364963503649635,0.0364963503649635,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005
6,alittlesnowfairysugar,0.05747126436781609,0.13793103448275862,0.22988505747126436,0.19540229885057472,0.06896551724137931,0.0,0.022988505747126436,0.05747126436781609,0.05747126436781609,0.06896551724137931,0.08045977011494253,0.022988505747126436,0.0
7,aplacefurtherthantheuniverse,0.10714285714285714,0.15178571428571427,0.25,0.17857142857142858,0.03571428571428571,0.017857142857142856,0.0,0.125,0.0625,0.044642857142857144,0.008928571428571428,0.017857142857142856,0.0
8,apolarbearinlove,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0
9,aria,0.09195402298850575,0.16091954022988506,0.1781609195402299,0.1724137931034483,0.09770114942528736,0.011494252873563218,0.05747126436781609,0.07471264367816093,0.05172413793103448,0.040229885057471264,0.034482758620689655,0.022988505747126436,0.005747126436781609
10,asistersallyouneed,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0
11,accelworld,0.125,0.09868421052631579,0.14473684210526316,0.11842105263157894,0.23684210526315788,0.02631578947368421,0.05263157894736842,0.1118421052631579,0.05263157894736842,0.02631578947368421,0.006578947368421052,0.0,0.0
12,aceattorney,0.16666666666666666,0.12857142857142856,0.2571428571428571,0.10476190476190476,0.0761904761904762,0.01904761904761905,0.01904761904761905,0.14761904761904762,0.04285714285714286,0.02857142857142857,0.0,0.009523809523809525,0.0
13,actionheroinecheerfruits,0.10465116279069768,0.1744186046511628,0.20930232558139536,0.12790697674418605,0.10465116279069768,0.046511627906976744,0.0,0.09302325581395349,0.08139534883720931,0.03488372093023256,0.011627906976744186,0.0,0.011627906976744186
14,activeraid,0.18421052631578946,0.039473684210526314,0.14473684210526316,0.07894736842105263,0.19736842105263158,0.06578947368421052,0.06578947368421052,0.11842105263157894,0.07894736842105263,0.013157894736842105,0.0,0.013157894736842105,0.0
15,adachiandshimamura,0.03076923076923077,0.13846153846153847,0.3230769230769231,0.13846153846153847,0.06153846153846154,0.015384615384615385,0.0,0.16923076923076924,0.06153846153846154,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.0
16,aestheticaofaroguehero,0.1513157894736842,0.17763157894736842,0.17763157894736842,0.08552631578947369,0.16447368421052633,0.03289473684210526,0.07894736842105263,0.05921052631578947,0.039473684210526314,0.013157894736842105,0.013157894736842105,0.006578947368421052,0.0
17,afrosamurai,0.1680327868852459,0.0778688524590164,0.19262295081967212,0.09016393442622951,0.22540983606557377,0.04918032786885246,0.06967213114754098,0.0860655737704918,0.01639344262295082,0.00819672131147541,0.012295081967213115,0.004098360655737705,0.0
18,aftertherain2014,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
